Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
VEH ,85,09-Jun-56,151.1583076,-33.85505508,VICTORIA RD,DAY ST,DRUMMOYNE,Sydney
VEH ,86,12-May-58,151.1423897,-33.90332534,NEW CANTERBURY RD,MARRICKVILLE RD,DULWICH HILL,Sydney
VEH ,87,08-Jul-53,151.160594,-33.87424343,BALMAIN RD,LILYFIELD RD,LILYFIELD,Sydney
VEH ,88,20-Sep-61,151.2089557,-33.82891958,FALCON ST,MILLER ST,NORTH SYDNEY,Sydney
VEH ,90,20-May-60,151.2061636,-33.9002623,ELIZABETH ST,MCEVOY ST,WATERLOO,Sydney
VEH ,91,03-Dec-59,151.1570637,-33.88379147,MARION ST,NORTON ST,LEICHHARDT,Sydney
VEH ,92,18-Aug-70,151.1677178,-33.88792196,PARRAMATTA RD,JOHNSTON ST,ANNANDALE,Sydney
VEH ,93,09-Oct-59,151.1591084,-33.88793128,PARRAMATTA RD,CRYSTAL ST,LEICHHARDT,Sydney
VEH ,94,18-Nov-52,151.2850009,-33.79687076,SYDNEY RD,BELGRAVE ST,MANLY,Sydney
VEH ,95,13-Nov-52,151.2648493,-33.79442217,SYDNEY RD,CONDAMINE ST,BALGOWLAH,Sydney
VEH ,96,13-Feb-53,151.159162,-33.90760343,SYDENHAM RD,ILLAWARRA RD,MARRICKVILLE,Sydney
VEH ,97,12-Sep-57,151.1498441,-33.89407954,RAILWAY TCE,WEST ST,LEWISHAM,Sydney
VEH ,98,26-Oct-55,151.2284229,-33.94008116,MAROUBRA RD,BUNNERONG RD,PAGEWOOD,Sydney
VEH ,99,18-Jul-57,151.1049467,-33.81294818,BLAXLAND RD,DEVLIN ST,RYDE,Sydney
VEH ,100,17-Sep-53,151.1568445,-33.89567692,CRYSTAL ST,NEW CANTERBURY RD,PETERSHAM,Sydney
VEH ,101,21-May-53,151.1574033,-33.89409811,CRYSTAL ST,TRAFALGAR ST,PETERSHAM,Sydney
VEH ,102,28-May-53,151.1525143,-33.89658495,NEW CANTERBURY RD,LIVINGSTONE RD,PETERSHAM,Sydney
VEH ,103,12-Nov-52,151.1745837,-33.91552801,PRINCES HWY,CANAL RD,ST PETERS,Sydney
VEH ,104,12-Nov-53,151.1693105,-33.91919853,PRINCES HWY,RAILWAY RD,SYDENHAM,Sydney
VEH ,105,18-Aug-52,151.1665277,-33.91645167,RAILWAY RD,UNWINS BRIDGE RD,SYDENHAM,Sydney
VEH ,106,08-Mar-61,151.1260783,-33.87303843,PARRAMATTA RD,CROYDON RD,FIVE DOCK,Sydney
VEH ,107,13-Mar-68,151.1069337,-33.87814985,SHAFTESBURY RD,RAILWAY PDE,BURWOOD,Sydney
VEH ,108,22-Dec-53,151.0039782,-33.82026493,GREAT WESTERN HWY,CHURCH ST,PARRAMATTA,Sydney
VEH ,109,31-Mar-53,151.0034253,-33.81355525,CHURCH ST,GEORGE ST,PARRAMATTA,Sydney
VEH ,110,23-Apr-53,151.0053174,-33.80866406,CHURCH ST,VICTORIA RD,PARRAMATTA,Sydney
VEH ,111,27-Oct-70,150.8712301,-34.42572104,PRINCES HWY,MOUNT KEIRA RD,WEST WOLLONGONG,Southern
VEH ,112,23-Apr-53,151.0186181,-33.83345523,PARRAMATTA RD,BERRY ST,GRANVILLE,Sydney
VEH ,113,13-Oct-52,151.0122677,-33.8306958,PARRAMATTA RD,GOOD ST,GRANVILLE,Sydney
VEH ,114,10-Sep-53,151.2411935,-33.91717221,BELMORE RD,AVOCA ST,RANDWICK,Sydney
VEH ,115,05-Aug-53,151.2420404,-33.9131632,ALISON RD,AVOCA ST,RANDWICK,Sydney
VEH ,116,01-Dec-67,151.2394016,-33.91278204,ALISON RD,BELMORE RD,RANDWICK,Sydney
VEH ,117,14-Apr-89,151.0242026,-33.88130332,PARK RD,COMMERCIAL DR,REGENTS PARK,Sydney
VEH ,118,03-Nov-54,151.1477266,-33.93915508,PRINCES HWY,FOREST RD,ARNCLIFFE,Sydney
VEH ,119,08-Jan-53,151.1030172,-33.81576881,VICTORIA RD,DEVLIN ST,RYDE,Sydney
VEH ,120,20-Dec-52,151.091469,-33.88763359,HUME HWY,THE BOULEVARDE,ENFIELD,Sydney
VEH ,121,19-Jan-53,151.0836007,-33.90214178,BURWOOD RD,PUNCHBOWL RD,BELFIELD,Sydney
VEH ,122,21-May-55,151.1939377,-33.86970687,HARRIS ST,MILLER ST,PYRMONT,Sydney
VEH ,123,02-Mar-56,151.0894976,-33.84770878,CONCORD RD,VICTORIA AV,CONCORD,Sydney
VEH ,124,06-Dec-54,151.1957209,-33.87905336,WATTLE ST,WILLIAM HENRY ST,ULTIMO,Sydney
VEH ,125,12-Sep-55,151.0913855,-33.8555976,CONCORD RD,CORREYS AV,CONCORD,Sydney
VEH ,126,15-Mar-54,151.2157337,-33.88520913,BOURKE ST,FITZROY ST,SURRY HILLS,Sydney
VEH ,127,07-Dec-55,151.1219839,-33.87129423,PARRAMATTA RD,HARRIS RD,FIVE DOCK,Sydney
VEH ,128,06-Dec-73,151.0881933,-33.83970163,CONCORD RD,HOSPITAL RD,CONCORD WEST,Sydney
VEH ,129,15-Sep-54,151.2248087,-33.87313655,DARLINGHURST RD,MACLEAY ST,KINGS CROSS,Sydney
VEH ,130,23-Jun-75,150.8266127,-34.46850537,PRINCES HWY,NORTHCLIFFE DR,UNANDERRA,Southern
VEH ,131,17-Mar-54,151.2191713,-33.88163927,OXFORD ST,SOUTH DOWLING ST,DARLINGHURST,Sydney
VEH ,132,23-Jun-53,151.1791531,-33.88619182,PARRAMATTA RD,MISSENDEN RD,CAMPERDOWN,Sydney
VEH ,133,20-May-55,151.1117842,-33.98790131,PRINCES HWY,KING GEORGES RD,BLAKEHURST,Sydney
VEH ,134,13-Jan-55,151.0835194,-33.95261364,KING GEORGES RD,STONEY CREEK RD,BEVERLY HILLS,Sydney
VEH ,135,05-Oct-54,151.1822539,-33.89007911,MISSENDEN RD,SALISBURY RD,CAMPERDOWN,Sydney
VEH ,136,06-Aug-53,151.1989968,-33.89892651,WYNDHAM ST,BUCKLAND ST,ALEXANDRIA,Sydney
VEH ,137,27-May-54,151.2000035,-33.89876911,BOTANY RD,BUCKLAND ST,ALEXANDRIA,Sydney
VEH ,138,09-Jul-69,151.17557,-33.81234638,PACIFIC HWY,LONGUEVILLE RD,LANE COVE,Sydney
VEH ,139,18-Dec-68,151.1609273,-33.73009737,MONA VALE RD,MEMORIAL AV,ST IVES,Sydney
VEH ,140,25-Feb-60,151.1356333,-33.88471503,PARRAMATTA RD,DALHOUSIE ST,HABERFIELD,Sydney
VEH ,141,19-Jan-59,151.1938876,-33.90011148,MITCHELL RD,BUCKLAND ST,ALEXANDRIA,Sydney
VEH ,142,08-Dec-58,151.102308,-34.03420752,KINGSWAY,KIORA RD,MIRANDA,Sydney
VEH ,143,08-Jul-53,151.1576201,-33.88823241,PARRAMATTA RD,NORTON ST,LEICHHARDT,Sydney
VEH ,144,22-Nov-73,151.1043075,-33.87427992,BURWOOD RD,PARK AV,BURWOOD,Sydney
VEH ,145,13-May-57,151.1278626,-33.94820641,FOREST RD,BEXLEY RD,BEXLEY,Sydney
VEH ,146,24-Sep-68,151.2070437,-33.92292297,GARDENERS RD,DALMENY AV,ROSEBERY,Sydney
VEH ,148,20-Nov-53,151.1473242,-33.75096057,PACIFIC HWY,MONA VALE RD,PYMBLE,Sydney
VEH ,149,09-Feb-59,151.1880913,-33.90646427,MITCHELL RD,HUNTLEY ST,ALEXANDRIA,Sydney
VEH ,150,27-Mar-62,151.2052356,-33.90423389,ELIZABETH ST,BOURKE ST,WATERLOO,Sydney
VEH ,151,18-Jun-68,151.2093859,-33.82694847,MILLER ST,ERNEST ST,CAMMERAY,Sydney
VEH ,152,25-Feb-54,151.122571,-33.97850074,PRINCES HWY,PARK RD,ALLAWAH,Sydney
VEH ,153,29-Mar-56,151.1049253,-33.97756446,KING GEORGES RD,CONNELLS POINT RD,SOUTH HURSTVILLE,Sydney
VEH ,154,24-Mar-58,151.2137093,-33.86305009,CAHILL EXP OFF RAMP,CONSERVATORIUM RD,SYDNEY,Sydney
VEH ,155,08-Nov-65,151.2262697,-33.88499493,OXFORD ST,OATLEY RD,PADDINGTON,Sydney
VEH ,156,20-Jun-60,150.9963951,-33.81861675,GREAT WESTERN HWY,PITT ST,PARRAMATTA,Sydney
VEH ,157,26-May-54,151.0862582,-33.91391594,BURWOOD RD,LAKEMBA ST,BELMORE,Sydney
VEH ,158,22-Sep-89,151.1871117,-33.92856661,O'RIORDAN ST,KING ST,MASCOT,Sydney
VEH ,159,06-Jul-53,151.2512093,-33.89616188,BRONTE RD,BIRRELL ST,WAVERLEY,Sydney
VEH ,160,24-Jun-53,151.253619,-33.9003207,BRONTE RD,CARRINGTON RD,WAVERLEY,Sydney
VEH ,161,13-Jul-53,151.2495051,-33.89372325,BRONTE RD,EBLEY ST,BONDI JUNCTION,Sydney
VEH ,162,23-Apr-56,151.0910893,-33.92414808,CANTERBURY RD,BURWOOD RD,BELMORE,Sydney
VEH ,163,20-Nov-52,151.1793306,-33.80544723,PACIFIC HWY,MOWBRAY RD,CHATSWOOD,Sydney
VEH ,164,25-Jun-62,150.9731438,-33.88960113,HUME HWY,WOODVILLE RD,LANSDOWNE,Sydney
VEH ,165,07-Jun-55,151.0397302,-33.84342941,PARRAMATTA RD,STATION RD,AUBURN,Sydney
VEH ,166,19-May-59,151.0417489,-33.81234506,VICTORIA RD,PARK RD,RYDALMERE,Sydney
VEH ,167,18-Mar-53,151.2446066,-33.8772344,NEW SOUTH HEAD RD,KIAORA RD,DOUBLE BAY,Sydney
VEH ,168,24-Jul-56,151.7557684,-32.92382103,HUNTER ST,TUDOR ST,NEWCASTLE WEST,Hunter
VEH ,169,01-Jul-57,151.2154377,-33.94064958,WENTWORTH AV,PAGE ST,PAGEWOOD,Sydney
VEH ,171,01-Dec-55,150.893096,-34.42482704,CROWN ST,KEIRA ST,WOLLONGONG,Southern
VEH ,172,02-Oct-58,151.7620122,-32.92633594,HUNTER ST,HANNELL ST,NEWCASTLE WEST,Hunter
VEH ,173,30-Apr-54,151.1089174,-33.92772978,BEXLEY RD,WILLIAM ST,EARLWOOD,Sydney
VEH ,174,23-Oct-67,151.1038212,-33.87676523,BURWOOD RD,DEANE ST,BURWOOD,Sydney
VEH ,175,22-Dec-55,151.1780494,-33.79612071,PACIFIC HWY,FULLERS RD,CHATSWOOD,Sydney
VEH ,176,05-Dec-52,151.1641186,-33.89399704,PERCIVAL ST,DOUGLAS ST,STANMORE,Sydney
VEH ,177,08-Jul-53,151.1243614,-33.79676872,WICKS RD,COXS RD,NORTH RYDE,Sydney
VEH ,178,15-Jan-62,151.1995676,-33.8921232,REDFERN ST,GIBBONS ST,REDFERN,Sydney
VEH ,179,27-Jan-61,151.1628153,-33.88317509,CATHERINE ST,STYLES ST,LEICHHARDT,Sydney
VEH ,180,31-Oct-61,151.2676143,-33.78290792,CONDAMINE ST,KING ST,MANLY VALE,Sydney
VEH ,181,23-Jan-61,151.0180333,-33.94523992,THE RIVER RD,DOYLE RD,REVESBY,Sydney
PED ,182,07-Mar-89,151.106568,-33.89578893,GEORGES RIVER RD,BEAUFORT ST (E-),CROYDON PARK,Sydney
VEH ,183,18-May-61,151.0034576,-33.81695666,CHURCH ST,ARGYLE ST,PARRAMATTA,Sydney
VEH ,184,18-May-61,151.0029286,-33.8150498,CHURCH ST,MACQUARIE ST,PARRAMATTA,Sydney
VEH ,185,18-May-61,151.0038517,-33.81224246,CHURCH ST,PHILLIP ST,PARRAMATTA,Sydney
VEH ,186,05-Apr-61,151.7495562,-32.91712087,MAITLAND RD,BEAUMONT ST,ISLINGTON,Hunter
VEH ,187,06-Apr-65,151.2150093,-33.90088811,SOUTH DOWLING ST,LACHLAN ST,WATERLOO,Sydney
VEH ,188,14-Sep-60,151.2211836,-33.87931553,VICTORIA ST,BURTON ST,DARLINGHURST,Sydney
VEH ,189,02-Jan-62,151.1085763,-33.89530058,GEORGES RIVER RD,BRIGHTON AV,CROYDON PARK,Sydney
VEH ,190,26-Feb-62,151.0057623,-33.80355429,PENNANT HILLS RD,CHURCH ST,NORTH PARRAMATTA,Sydney
VEH ,191,05-Dec-61,151.1794311,-33.91235032,PRINCES HWY,CAMPBELL ST,ST PETERS,Sydney
VEH ,192,18-Jul-66,151.070511,-33.80716563,VICTORIA RD,MARSDEN RD,ERMINGTON,Sydney
VEH ,193,23-Jan-62,151.1530066,-33.75651394,PACIFIC HWY,ST JOHNS AV,GORDON,Sydney
VEH ,194,31-Jan-62,151.2194826,-33.83046941,MILITARY RD,BEN BOYD RD,NEUTRAL BAY,Sydney
VEH ,195,14-Mar-74,151.1258221,-33.78761255,LANE COVE RD,EPPING RD,MACQUARIE PARK,Sydney
VEH ,196,28-Jun-89,151.1217533,-33.92703876,WILLIAM ST,CAMERON AV,EARLWOOD,Sydney
VEH ,197,03-Sep-76,151.1363062,-33.9841759,ROCKY POINT RD,RAMSGATE RD,RAMSGATE,Sydney
VEH ,198,14-Jun-74,151.5815336,-32.74668405,NEW ENGLAND HWY,MELBOURNE ST,EAST MAITLAND,Hunter
VEH ,199,04-Jan-62,151.0270248,-33.93378057,CANTERBURY RD,CHAPEL RD,BANKSTOWN,Sydney
VEH ,200,19-Feb-68,150.8138121,-33.61186826,GEORGE ST,RICHMOND RD,WINDSOR,Sydney
VEH ,201,28-Nov-72,151.725664,-32.91513841,TURTON RD,GRIFFITHS RD,LAMBTON,Hunter
VEH ,202,23-Nov-61,151.1296297,-33.97358806,PRINCES HWY,JUBILEE AV,CARLTON,Sydney
VEH ,203,10-Jul-61,150.920312,-33.92704793,MACQUARIE ST,TERMINUS ST,LIVERPOOL,Sydney
VEH ,204,22-Mar-63,151.1471485,-33.9570499,WEST BOTANY ST,BAY ST,ROCKDALE,Sydney
VEH ,205,18-Nov-64,151.2232914,-33.91003066,ANZAC PDE,TODMAN AV,KENSINGTON,Sydney
VEH ,206,11-Apr-63,150.9695002,-33.81557051,GREAT WESTERN HWY,STATION ST,WENTWORTHVILLE,Sydney
VEH ,207,29-May-63,151.0996154,-33.89748618,BURWOOD RD,GEORGES RIVER RD,CROYDON PARK,Sydney
VEH ,208,17-Feb-72,151.7585639,-32.93870785,GLEBE RD,UNION ST,THE JUNCTION,Hunter
VEH ,209,18-Mar-76,151.0067298,-33.88370922,WALDRON RD,HECTOR ST,CHESTER HILL,Sydney
VEH ,210,17-Nov-64,150.88759,-34.48537973,KING ST,COWPER ST,WARRAWONG,Southern
VEH ,211,07-Sep-06,151.2179262,-33.87022948,SIR JOHN YOUNG CRES,PALMER ST,WOOLLOOMOOLOO,Sydney
VEH ,212,16-Feb-65,151.7672775,-32.92742454,HUNTER ST,UNION ST,NEWCASTLE,Hunter
VEH ,213,04-Sep-62,151.7263503,-32.88969498,MAITLAND RD,MAUD ST,MAYFIELD,Hunter
VEH ,214,12-Feb-63,151.1100052,-33.93266613,BEXLEY RD,HOMER ST,EARLWOOD,Sydney
VEH ,215,26-Nov-62,151.1706839,-33.88142592,BOOTH ST,JOHNSTON ST,ANNANDALE,Sydney
VEH ,216,04-Sep-63,151.0831133,-33.77386623,EPPING RD,BLAXLAND RD,EPPING,Sydney
VEH ,217,02-Jul-69,151.1091891,-33.98340928,KING GEORGES RD,TERRY ST,BLAKEHURST,Sydney
VEH ,218,21-Dec-62,150.8997918,-34.42587215,CORRIMAL ST,CROWN ST,WOLLONGONG,Southern
VEH ,219,02-Oct-62,151.1709174,-33.81244858,EPPING RD,LONGUEVILLE RD,LANE COVE,Sydney
VEH ,220,21-Apr-89,150.9005372,-34.42238154,CORRIMAL ST,SMITH ST,WOLLONGONG,Southern
VEH ,221,09-Apr-63,151.0421505,-33.84502928,PARRAMATTA RD,SILVERWATER RD,AUBURN,Sydney
VEH ,222,11-May-72,150.9454721,-33.87293548,HAMILTON RD,SACKVILLE ST,FAIRFIELD,Sydney
VEH ,223,05-Jul-73,151.2421468,-33.87841554,NEW SOUTH HEAD RD,MANNING RD,DOUBLE BAY,Sydney
VEH ,224,25-Oct-62,151.2678981,-33.88506745,OLD SOUTH HEAD RD,O'SULLIVAN RD,BONDI,Sydney
VEH ,225,07-Nov-62,151.0372675,-33.89905636,ROOKWOOD RD,BRUNKER RD,YAGOONA,Sydney
VEH ,226,01-Apr-63,151.1304805,-33.79128155,EPPING RD,WICKS RD,NORTH RYDE,Sydney
VEH ,227,18-Jul-66,151.2110516,-33.86343256,BRIDGE ST,YOUNG ST,SYDNEY,Sydney
VEH ,229,29-Jan-63,151.208601,-33.87828769,CASTLEREAGH ST,GOULBURN ST,SYDNEY,Sydney
VEH ,230,25-Oct-87,151.1938498,-33.87240576,WEST ARTERIAL OFF RAMP,PYRMONT BRIDGE RD,PYRMONT,Sydney
VEH ,232,26-Feb-90,151.2077259,-33.86226398,GEORGE ST,ESSEX ST,SYDNEY,Sydney
VEH ,233,17-Dec-96,151.2082889,-33.861317,GEORGE ST,ALFRED ST,THE ROCKS,Sydney
VEH ,235,29-Jan-63,151.2081198,-33.87313422,PITT ST,PARK ST,SYDNEY,Sydney
VEH ,237,22-Feb-65,151.2082251,-33.87076897,PITT ST,MARKET ST,SYDNEY,Sydney
VEH ,238,11-Mar-04,151.2516864,-33.89337545,HOLLYWOOD AV,WESTFIELD ACCESS RD,BONDI JUNCTION,Sydney
VEH ,239,22-Jan-65,151.2083112,-33.86888757,PITT ST,KING ST,SYDNEY,Sydney
VEH ,240,24-May-99,151.2045603,-33.88180983,GEORGE ST,VAENTINE ST,SYDNEY,Sydney
